,NVDA,MRNA,BYND,TSLA,TEVA,SNOW,ABNB,BABA,1090943,1106376,168013
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice
2017-07-13,39.67894744873047,,,21.560667037963867,32.812705993652344,,,149.52000427246094,1545.0,47.0,39290.0
2017-07-14,40.74607849121094,,,21.851999282836914,31.537368774414062,,,151.8300018310547,,,
2017-07-16,,,,,,,,,1542.0,47.0,40320.0
2017-07-17,40.57316589355469,,,21.30466651916504,31.468164443969727,,,151.22999572753906,1539.0,47.0,39420.0
2017-07-18,40.99557113647461,,,21.882667541503906,31.586801528930664,,,153.75,1544.0,47.0,39400.0
2017-07-19,40.78313446044922,,,21.68400001525879,31.557140350341797,,,153.14999389648438,1547.0,47.0,38630.0
2017-07-20,41.37598419189453,,,21.994667053222656,32.061344146728516,,,152.11000061035156,1555.0,47.0,38520.0
2017-07-21,41.52418899536133,,,21.893333435058594,32.26895523071289,,,151.88999938964844,,,
2017-07-23,,,,,,,,,1553.0,47.0,38110.0
2017-07-24,41.042503356933594,,,22.834667205810547,32.10089111328125,,,152.25999450683594,1533.0,47.2,37420.0
2017-07-25,40.84488296508789,,,22.639999389648438,32.38759231567383,,,152.44000244140625,1527.0,47.2,36180.0
2017-07-26,41.31669235229492,,,22.92333221435547,32.66441345214844,,,155.7899932861328,1538.0,47.2,35490.0
2017-07-27,39.95314025878906,,,22.297332763671875,32.08111572265625,,,154.14999389648438,1495.0,47.2,35230.0
2017-07-28,40.60774230957031,,,22.33799934387207,31.972366333007812,,,157.55999755859375,,,
2017-07-30,,,,,,,,,1493.0,47.2,34610.0
2017-07-31,40.143341064453125,,,21.564666748046875,31.804298400878906,,,154.9499969482422,1493.0,44.3,35160.0
2017-08-01,40.63245391845703,,,21.30466651916504,31.49782371520996,,,154.72999572753906,,,
2017-08-02,40.60774230957031,,,21.72599983215332,30.894758224487305,,,151.91000366210938,1500.0,41.4,35700.0
2017-08-03,41.124019622802734,,,23.139333724975586,23.48001480102539,,,153.32000732421875,1511.0,41.0,36820.0
2017-08-04,41.30434036254883,,,23.79400062561035,20.365825653076172,,,153.3300018310547,,,
2017-08-06,,,,,,,,,1515.0,41.0,35490.0
2017-08-07,42.574039459228516,,,23.67799949645996,18.378673553466797,,,158.83999633789062,1498.0,39.5,35860.0
2017-08-08,42.0676383972168,,,24.347999572753906,18.08208465576172,,,157.5,1499.0,39.1,35520.0
2017-08-09,42.51474380493164,,,24.235332489013672,17.30106544494629,,,157.49000549316406,1493.0,33.5,35200.0
2017-08-10,40.6942024230957,,,23.69333267211914,16.99458885192871,,,151.77000427246094,1500.0,34.6,34150.0
2017-08-11,38.525360107421875,,,23.857999801635742,17.103336334228516,,,151.6999969482422,,,
2017-08-13,,,,,,,,,1507.0,39.2,34070.0
2017-08-14,41.598289489746094,,,24.253332138061523,16.964929580688477,,,154.61000061035156,1518.0,42.1,34610.0
2017-08-15,41.24751281738281,,,24.155332565307617,17.76572036743164,,,157.75,1519.0,43.0,34600.0
2017-08-16,40.79548263549805,,,24.194000244140625,17.29117774963379,,,159.5,1529.0,43.0,35380.0
2017-08-17,39.88643264770508,,,23.461332321166992,16.90561294555664,,,163.9199981689453,1544.0,43.0,35670.0
2017-08-18,39.89385223388672,,,23.163999557495117,17.103336334228516,,,167.5,,,
2017-08-20,,,,,,,,,1541.0,38.2,35080.0
2017-08-21,39.313350677490234,,,22.52400016784668,16.846294403076172,,,169.25,1498.0,36.8,34700.0
2017-08-22,40.1885871887207,,,22.75666618347168,16.816635131835938,,,174.4600067138672,1485.0,38.4,34220.0
2017-08-23,40.992095947265625,,,23.51799964904785,16.30254554748535,,,175.8000030517578,1439.0,38.4,33500.0
2017-08-24,40.841278076171875,,,23.528667449951172,16.17402458190918,,,175.0,1504.0,38.4,33090.0
2017-08-25,40.500091552734375,,,23.203332901000977,16.109426498413086,,,171.74000549316406,,,
2017-08-27,,,,,,,,,1483.0,38.4,33640.0
2017-08-28,40.78689956665039,,,23.04400062561035,15.831164360046387,,,168.3000030517578,1489.0,39.9,33670.0
2017-08-29,40.72013854980469,,,23.157333374023438,15.672157287597656,,,167.41000366210938,1482.0,41.5,33160.0
2017-08-30,40.96244430541992,,,23.545333862304688,15.364080429077148,,,171.25,1483.0,42.7,33080.0
2017-08-31,41.89204025268555,,,23.726667404174805,15.761598587036133,,,171.74000549316406,1480.0,42.7,32660.0
