Symbol,sector,description,total_return,total_volatility,total_sharpe,annual_return,annual_volatility,annual_sharpe,monthly_return,monthly_volatility,monthly_sharpe,forecast_return,forecast_volatility,forecast_sharpe
1171446,Israel stocks,שוהם ביזנס אגחג,,,,,,,,,,,,
1170323,Israel stocks,מלרן      אגח ב,,,,,,,,,,,,
1170372,Israel stocks,אורשי     אגח ג,,,,,,,,,,,,
1170893,Israel stocks,מניף,,,,,,,,,,,,
1170950,Israel stocks,מלרן,,,,,,,,,,,,
1168186,Israel stocks,מימון ישיר,,,,,,,,,,,,
1160811,Israel stocks,אמ.ג'יג'י אגח ב,,,,,,,,,,,,
1191386,Israel stocks,הראל פיקד אגח ג,,,,,,,,,,,,
1195361,Israel stocks,אלה פקדון אגח ח,,,,,,,,,,,,
1197045,Israel stocks,אלה פקדון אגח ט,,,,,,,,,,,,
1189398,Israel stocks,אלה פקדון אגח ו,,,,,,,,,,,,
1141662,Israel stocks,אלה פקדון אגח א,,,,,,,,,,,,
1162304,Israel stocks,אלה פקדון אגח ד,,,,,,,,,,,,
1162502,Israel stocks,הראל פיקד אגח ב,,,,,,,,,,,,
1162577,Israel stocks,אלה פקדון אגח ה,,,,,,,,,,,,
1159623,Israel stocks,הראל פיקד אגח א,,,,,,,,,,,,
1159698,Israel stocks,MTF.כשתלבונד60,,,,,,,,,,,,
1159706,Israel stocks,MTF.כשתלבונדשקל,,,,,,,,,,,,
1159714,Israel stocks,MTF.כשתא125,,,,,,,,,,,,
1160159,Israel stocks,תכ.INDXREALLOG,,,,,,,,,,,,
1161033,Israel stocks,תכ.חס2תא90,,,,,,,,,,,,
1161058,Israel stocks,קסם.חסתא 90 2,,,,,,,,,,,,
1161132,Israel stocks,קסם.BDLRTNTR,,,,,,,,,,,,
1158278,Israel stocks,קסם.BULLETCPI23,,,,,,,,,,,,
1158286,Israel stocks,קסם.BULLETCPI25,,,,,,,,,,,,
1158294,Israel stocks,קסם.Bשקלי23,,,,,,,,,,,,
1158302,Israel stocks,קסם.Bשקלי25,,,,,,,,,,,,
1158310,Israel stocks,INDX USECOM.MTF,,,,,,,,,,,,
1158328,Israel stocks,CLOUD COMP.MTF,,,,,,,,,,,,
1157908,Israel stocks,קסם.SPBDUS3T,,,,,,,,,,,,
1157916,Israel stocks,קסם.SPBDUS5T,,,,,,,,,,,,
1157924,Israel stocks,קסם.SPBDU10T,,,,,,,,,,,,
1157957,Israel stocks,קסם.NIFTY50,,,,,,,,,,,,
1155365,Israel stocks,קסם.כשר תא 125,,,,,,,,,,,,
1155373,Israel stocks,תכ.כשתא125,,,,,,,,,,,,
1155076,Israel stocks,פסג.כשתלבונד 60,,,,,,,,,,,,
1155092,Israel stocks,הרל.כשתלבונד60,,,,,,,,,,,,
1155100,Israel stocks,תכ.כשתלבונדתשו,,,,,,,,,,,,
1155118,Israel stocks,תכ.כשתלבנדציתר,,,,,,,,,,,,
1155126,Israel stocks,קסם.כשתלבונד 60,,,,,,,,,,,,
1155159,Israel stocks,קסם.כשתלבונד שק,,,,,,,,,,,,
1155175,Israel stocks,פסג.כשתלבונדשקל,,,,,,,,,,,,
1155183,Israel stocks,תכ.כשתלבונדשקלי,,,,,,,,,,,,
1155191,Israel stocks,הרל.כשתלבונדשקל,,,,,,,,,,,,
1157379,Israel stocks,קסם.תלבונד דולר,,,,,,,,,,,,
1155324,Israel stocks,פסג.כש תא 125,,,,,,,,,,,,
1155340,Israel stocks,הרל.כש תא 125,,,,,,,,,,,,
1150895,Israel stocks,תכ.TECDAX,,,,,,,,,,,,
1147529,Israel stocks,קסם.SPINDUST,,,,,,,,,,,,
1147545,Israel stocks,קסם.FTSE100ממ,,,,,,,,,,,,
1150838,Israel stocks,הרל.SPHEALTCAממ,,,,,,,,,,,,
1150861,Israel stocks,DAX.MTF,,,,,,,,,,,,
1143700,Israel stocks,תכ.תא35,,,,,,,,,,,,
1143718,Israel stocks,תכ.תא125,,,,,,,,,,,,
1143726,Israel stocks,תכ.בנקיםישרא,,,,,,,,,,,,
1143734,Israel stocks,תכ.NDX100ממ,,,,,,,,,,,,
