,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2016-05-02,886.4,302.86,337.7,401.18,236.73,598.51,279.84,323.27,38.696983337402344,61.92731857299805,124.76347351074219,100.90794372558594,99.06549835205078,24210.0,4300.0,4770.0,9.899999618530273,32.27327346801758,23.34454917907715,106.76580810546875,9.560660362243652,7.265084266662598
2016-05-03,875.71,303.05,337.84,401.57,236.78,599.86,279.82,323.52,38.34137725830078,61.73319625854492,118.92452239990234,99.97185516357422,99.07450866699219,24020.0,4235.0,4729.0,9.899999618530273,32.499996185302734,23.065532684326172,106.9323501586914,9.554032325744629,7.276485443115234
2016-05-04,868.19,303.01,337.67,401.46,236.79,599.5,279.8,323.7,38.22284698486328,61.14206314086914,116.1457748413086,99.32888793945312,99.07450866699219,23810.0,4215.0,4653.0,9.899999618530273,32.57036590576172,22.964780807495117,107.70689392089844,9.534175872802734,7.236571788787842
2016-05-05,875.58,303.2,338.01,401.74,236.84,600.54,279.78,324.25,38.241085052490234,61.39791488647461,118.71346282958984,99.30049896240234,99.0924301147461,24490.0,4263.0,4691.0,9.899999618530273,32.55474090576172,22.926023483276367,107.66523742675781,9.60700511932373,7.213758945465088
2016-05-06,,,,,,,,,38.52373123168945,61.036197662353516,117.27130889892578,99.83002471923828,99.10140228271484,,,,9.901000022888184,32.89873123168945,20.740379333496094,108.74787139892578,9.421619415283203,7.282191753387451
2016-05-08,878.58,303.18,338.07,401.94,236.87,601.3,279.77,324.25,,,,,,24420.0,4333.0,4722.0,,,,,,
2016-05-09,896.32,303.2,337.95,401.98,236.81,601.46,279.76,324.38,38.52373123168945,61.73319625854492,114.73876953125,100.11366271972656,99.10140228271484,24070.0,4268.0,4751.0,9.899999618530273,32.60164260864258,21.368167877197266,108.95609283447266,9.507689476013184,7.2707839012146
2016-05-10,906.91,303.15,337.83,401.87,236.68,601.14,279.75,324.58,39.02524185180664,62.25374984741211,119.17074584960938,101.48470306396484,99.0924301147461,24500.0,4285.0,4807.0,9.899999618530273,34.008907318115234,21.73244285583496,109.59733581542969,9.567281723022461,7.259382724761963
2016-05-11,,,,,,,,,38.742576599121094,61.50380325317383,120.40184020996094,100.56751251220703,99.0924301147461,,,,9.899999618530273,29.9669246673584,21.585186004638672,107.54863739013672,9.481208801269531,7.242272853851318
2016-05-12,,,,,,,,,38.633155822753906,61.14206314086914,120.1556396484375,100.1231460571289,99.07450866699219,,,,9.899999618530273,29.14602279663086,21.802196502685547,108.36478424072266,9.501072883605957,7.287892818450928
2016-05-13,,,,,,,,,38.487266540527344,61.00090026855469,118.18583679199219,99.7543716430664,99.07450866699219,,,,9.890000343322754,28.80202865600586,21.530929565429688,107.29047393798828,9.514311790466309,7.2707839012146
2016-05-15,902.88,303.28,337.98,402.02,236.76,601.71,279.75,324.66,,,,,,24310.0,4290.0,4818.0,,,,,,
2016-05-16,897.21,303.33,337.95,402.15,236.51,602.08,279.76,325.0,39.02524185180664,61.83024597167969,120.71841430664062,101.00250244140625,99.08344268798828,24860.0,4269.0,4830.0,9.890000343322754,28.723848342895508,21.63943862915039,107.96504974365234,9.501072883605957,7.3677287101745605
2016-05-17,891.29,303.42,338.14,402.22,236.49,602.35,279.76,325.2,38.633155822753906,61.18619918823242,122.44192504882812,99.7354507446289,99.08344268798828,24730.0,4288.0,4736.0,9.890000343322754,28.160932540893555,21.445674896240234,106.34107971191406,9.534175872802734,7.430454254150391
2016-05-18,904.16,303.1,337.69,401.63,236.58,600.06,279.86,325.16,38.70610809326172,61.44206619262695,120.71841430664062,100.09476470947266,99.07450866699219,25260.0,4375.0,4731.0,9.890000343322754,28.481483459472656,21.151155471801758,105.10852813720703,9.554032325744629,7.35062313079834
2016-05-19,926.53,302.6,337.45,401.39,236.54,599.33,279.85,325.28,38.49637985229492,60.9215087890625,120.1556396484375,99.57470703125,99.08344268798828,24890.0,4332.0,4683.0,9.890000343322754,27.207117080688477,21.189905166625977,104.34233093261719,9.520933151245117,7.219459056854248
2016-05-20,,,,,,,,,38.96139907836914,61.48616027832031,121.14048767089844,100.67154693603516,99.06549835205078,,,,9.890000343322754,27.67620849609375,21.32941246032715,102.06877899169922,9.62024974822998,7.372187614440918
2016-05-22,939.65,302.86,337.37,401.4,236.37,599.49,279.82,324.46,,,,,,24750.0,4338.0,4689.0,,,,,,
2016-05-23,934.32,302.96,337.26,400.97,236.44,598.03,279.81,323.76,38.888458251953125,61.23912048339844,120.89430236816406,100.5391845703125,99.07450866699219,24810.0,4312.0,4703.0,9.890000343322754,28.059307098388672,21.29841423034668,102.2769775390625,9.653348922729492,7.366445541381836
2016-05-24,946.89,303.01,337.21,400.88,236.44,597.71,279.8,323.93,39.617897033691406,62.12139892578125,121.59774017333984,102.55315399169922,99.06549835205078,25160.0,4410.0,4732.0,9.890000343322754,28.37984848022461,21.445674896240234,103.22637939453125,9.626871109008789,7.3607048988342285
