,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2018-04-11,352.46,354.74,475.5,282.05,324.97,1439.44,1056.51,241.31590270996094,154.6522216796875,1546.800048828125,111.03107452392578,99.25475311279297,17.079999923706055,128.11000061035156,19.899999618530273
2018-04-12,352.39,354.48,475.25,282.02,324.97,1461.65,1065.77,243.30120849609375,156.51441955566406,1557.3299560546875,110.80953979492188,98.98384094238281,17.149999618530273,126.62000274658203,19.687400817871094
2018-04-13,,,,,,,,242.587646484375,155.7039337158203,1549.510009765625,110.8003158569336,99.01771545410156,17.18000030517578,127.44999694824219,19.687400817871094
2018-04-15,352.72,354.77,475.38,282.04,324.99,1471.43,1067.73,,,,,,,,
2018-04-16,353.1,355.05,475.31,282.03,324.99,1476.26,1078.18,244.58209228515625,156.89073181152344,1563.030029296875,110.77263641357422,99.02617645263672,17.079999923706055,127.62999725341797,19.687400817871094
2018-04-17,353.3,355.04,474.91,282.07,324.96,1484.42,1075.15,247.19873046875,160.26783752441406,1579.800048828125,110.79108428955078,99.03466033935547,17.06999969482422,127.75,19.790000915527344
2018-04-18,,,,,,,,247.3817901611328,160.5959014892578,1583.56005859375,110.53264617919922,98.52667999267578,17.469999313354492,127.8499984741211,20.450000762939453
2018-04-19,,,,,,,,246.00938415527344,159.11964416503906,1573.8199462890625,110.42185974121094,98.15415954589844,17.389999389648438,127.5999984741211,20.290000915527344
2018-04-20,,,,,,,,243.9233856201172,156.60125732421875,1564.1199951171875,110.2095947265625,97.75626373291016,17.3799991607666,126.62999725341797,20.290000915527344
2018-04-22,352.69,354.2,473.41,282.01,324.94,1491.82,1076.26,,,,,,,,
2018-04-23,352.04,353.54,472.69,282.07,324.9,1480.67,1078.89,243.88677978515625,156.20565795898438,1562.1199951171875,110.1357421875,97.71393585205078,17.440000534057617,125.62000274658203,20.479999542236328
2018-04-24,351.94,353.44,472.48,282.04,324.85,1480.7,1077.22,240.602294921875,152.89608764648438,1553.280029296875,110.09883117675781,97.42611694335938,17.270000457763672,126.2300033569336,20.420000076293945
2018-04-25,351.83,353.48,472.44,282.05,324.89,1459.83,1065.64,241.1969451904297,153.0794219970703,1550.469970703125,110.04342651367188,97.12133026123047,17.329999923706055,125.41000366210938,20.360000610351562
2018-04-26,352.44,354.2,473.52,282.03,324.9,1466.89,1066.53,243.64894104003906,156.30218505859375,1557.8900146484375,110.17265319824219,97.40914154052734,17.399999618530273,124.97000122070312,20.360000610351562
2018-04-27,,,,,,,,243.87759399414062,156.398681640625,1556.239990234375,110.2649917602539,97.6292724609375,17.3700008392334,125.5,20.360000610351562
2018-04-29,352.58,354.25,473.4,282.08,324.9,1473.96,1072.01,,,,,,,,
2018-04-30,352.44,354.27,473.18,282.06,324.85,1465.24,1059.52,242.00205993652344,155.28900146484375,1541.8800048828125,110.32034301757812,97.54463958740234,17.420000076293945,124.58999633789062,20.75
2018-05-01,352.25,354.0,472.95,282.07,324.85,1463.83,1053.81,242.4320831298828,157.0644073486328,1550.3299560546875,110.1825942993164,97.28059387207031,17.309999465942383,123.70999908447266,20.1299991607666
2018-05-02,352.3,354.03,473.21,282.14,324.84,1476.2,1052.92,240.80357360839844,156.1381378173828,1554.9100341796875,110.25657653808594,97.20419311523438,17.329999923706055,123.6500015258789,20.309999465942383
2018-05-03,352.36,354.16,473.42,282.11,324.85,1468.91,1050.79,240.27285766601562,156.11886596679688,1546.56005859375,110.42296600341797,97.22112274169922,17.450000762939453,124.27999877929688,20.290000915527344
2018-05-04,,,,,,,,243.38357543945312,159.08099365234375,1565.5999755859375,110.42296600341797,97.35700988769531,17.6200008392334,124.54000091552734,20.290000915527344
2018-05-06,352.42,354.1,473.29,282.12,324.84,1476.13,1058.59,,,,,,,,
2018-05-07,352.59,354.28,473.4,282.06,324.85,1474.74,1056.83,244.20701599121094,160.4029541015625,1578.949951171875,110.3860092163086,97.24664306640625,17.600000381469727,124.56999969482422,20.9689998626709
2018-05-08,352.12,353.79,472.92,282.07,324.83,1464.42,1043.73,244.20701599121094,160.2388916015625,1586.3900146484375,110.30279541015625,97.21267700195312,17.649999618530273,124.58999633789062,20.5856990814209
2018-05-09,351.63,353.39,472.16,282.08,324.83,1469.98,1043.6,246.5674591064453,161.9853515625,1596.050048828125,110.17338562011719,97.19572448730469,17.850000381469727,124.33000183105469,21.350000381469727
2018-05-10,351.61,353.58,472.68,282.1,324.85,1472.19,1045.19,248.8729705810547,163.66421508789062,1603.7099609375,110.2473373413086,97.68809509277344,17.90999984741211,125.18000030517578,21.350000381469727
2018-05-11,,,,,,,,249.63243103027344,163.50987243652344,1606.7900390625,110.22882843017578,97.85794067382812,17.780000686645508,125.0,21.350000381469727
2018-05-13,351.57,353.59,472.61,282.09,324.83,1485.21,1054.5,,,,,,,,
2018-05-14,351.43,353.26,472.01,282.11,324.81,1487.04,1053.16,249.7513427734375,163.7897186279297,1600.3399658203125,110.16413116455078,97.67962646484375,17.90999984741211,124.48999786376953,21.399999618530273
2018-05-15,351.2,352.91,471.36,282.11,324.79,1491.85,1055.47,248.03131103515625,161.97567749023438,1600.3399658203125,109.83128356933594,96.94099426269531,17.899999618530273,122.4800033569336,21.399999618530273
2018-05-16,351.0,352.95,471.28,282.11,324.8,1502.42,1056.34,249.07423400878906,163.04672241210938,1616.3699951171875,109.7203369140625,96.81363677978516,17.979999542236328,122.29000091552734,21.440000534057617
2018-05-17,350.78,352.89,471.29,282.11,324.82,1516.37,1056.76,248.86386108398438,162.41954040527344,1625.2900390625,109.76659393310547,96.6268539428711,18.030000686645508,122.36000061035156,21.476499557495117
2018-05-18,,,,,,,,248.2417755126953,161.58010864257812,1626.6300048828125,109.97920227050781,97.02587890625,17.979999542236328,122.41000366210938,21.476499557495117
2018-05-21,351.15,353.0,471.26,282.15,324.85,1528.22,1065.21,250.1082000732422,162.48707580566406,1637.43994140625,110.00694274902344,97.08533477783203,18.149999618530273,122.4800033569336,21.82990074157715
2018-05-22,351.19,353.07,471.5,282.18,324.88,1519.95,1068.02,249.41282653808594,162.27484130859375,1625.239990234375,109.99768829345703,96.98340606689453,18.15999984741211,122.41000366210938,21.8799991607666
2018-05-23,351.2,353.29,472.15,282.11,324.91,1511.5,1058.21,250.09901428222656,163.6449432373047,1627.6099853515625,110.27505493164062,97.39946746826172,18.18000030517578,122.54000091552734,21.8799991607666
2018-05-24,351.52,353.66,472.68,282.22,324.91,1516.32,1057.76,249.58663940429688,163.59671020507812,1628.219970703125,110.43221282958984,97.67115020751953,18.06999969482422,123.58999633789062,21.420000076293945
2018-05-25,,,,,,,,248.9919891357422,163.7607421875,1626.9300537109375,110.73729705810547,97.95977783203125,17.719999313354492,123.20999908447266,20.649999618530273
2018-05-27,352.14,354.44,473.97,282.21,325.0,1528.07,1063.85,,,,,,,,
2018-05-28,352.05,354.46,474.2,282.16,324.96,1524.27,1063.98,,,,,,,,
2018-05-29,352.08,354.64,474.69,282.11,324.95,1511.69,1060.11,246.12828063964844,163.037109375,1623.6500244140625,111.4676513671875,98.47771453857422,17.540000915527344,123.19000244140625,20.253799438476562
2018-05-30,352.26,354.71,474.7,282.16,324.94,1512.44,1069.68,249.41282653808594,164.20455932617188,1647.989990234375,111.14409637451172,98.09566497802734,17.829999923706055,123.37000274658203,20.635000228881836
2018-05-31,352.49,354.91,474.66,282.15,324.95,1512.01,1072.44,247.88499450683594,164.0984649658203,1633.6099853515625,111.13485717773438,98.0531997680664,17.690000534057617,123.0999984741211,20.635000228881836
2018-06-01,,,,,,,,250.31858825683594,166.67469787597656,1647.97998046875,110.83477020263672,97.86498260498047,17.510000228881836,122.48999786376953,20.635000228881836
2018-06-03,352.25,354.56,474.13,282.16,324.94,1519.78,1076.42,,,,,,,,
2018-06-04,352.07,354.29,473.78,282.14,324.94,1522.65,1085.89,251.50791931152344,168.17990112304688,1653.3699951171875,110.57550048828125,97.64352416992188,17.31999969482422,122.37000274658203,20.635000228881836
2018-06-05,352.08,354.44,473.91,282.17,324.96,1531.35,1092.16,251.6909637451172,168.70095825195312,1664.6300048828125,110.77922821044922,97.71171569824219,17.350000381469727,122.8499984741211,19.697200775146484
2018-06-06,351.9,354.19,473.55,282.19,324.94,1527.31,1089.81,253.7952423095703,169.68515014648438,1675.949951171875,110.53841400146484,97.35397338867188,17.389999389648438,122.91999816894531,18.540000915527344
2018-06-07,351.77,353.94,473.22,282.18,324.95,1532.15,1100.07,253.76776123046875,168.30532836914062,1667.77001953125,110.79774475097656,97.67764282226562,17.549999237060547,122.86000061035156,19.989999771118164
2018-06-08,,,,,,,,254.51797485351562,168.3150177001953,1672.489990234375,110.70513916015625,97.51579284667969,17.520000457763672,123.01000213623047,19.989999771118164
2018-06-10,351.93,354.08,473.27,282.16,324.97,1532.4,1096.88,,,,,,,,
2018-06-11,351.77,353.71,472.41,282.17,324.93,1539.15,1098.97,254.85655212402344,168.76853942871094,1674.6800537109375,110.63106536865234,97.42214965820312,17.479999542236328,123.2300033569336,20.016799926757812
2018-06-12,351.68,353.42,471.98,282.16,324.93,1538.61,1097.11,255.18594360351562,169.65625,1682.300048828125,110.57550048828125,97.43062591552734,17.510000228881836,122.81999969482422,20.016799926757812
2018-06-13,351.92,353.71,472.46,282.18,324.94,1540.3,1096.98,254.3715362548828,169.64657592773438,1676.5400390625,110.46435546875,97.33699035644531,17.59000015258789,123.19000244140625,20.016799926757812
2018-06-14,352.12,353.88,472.42,282.19,324.92,1542.16,1094.55,255.01206970214844,171.36404418945312,1684.719970703125,110.6125259399414,97.77983093261719,17.43000030517578,123.37999725341797,20.016799926757812
2018-06-15,,,,,,,,254.686767578125,170.76583862304688,1683.9100341796875,110.64960479736328,97.64352416992188,17.030000686645508,121.33999633789062,19.559999465942383
2018-06-17,352.36,353.73,472.02,282.19,324.92,1540.28,1096.0,,,,,,,,
2018-06-18,352.06,353.27,470.74,282.22,324.87,1532.7,1086.06,254.16285705566406,170.66722106933594,1692.4599609375,110.69589233398438,97.54132843017578,17.190000534057617,121.11000061035156,19.829999923706055
2018-06-19,351.99,353.12,470.45,282.25,324.83,1524.9,1079.02,253.18870544433594,170.18370056152344,1693.449951171875,110.85332489013672,97.59246826171875,17.030000686645508,120.80000305175781,19.6299991607666
