,TSLA,ADBE,JNJ,EOI,AAPL,AMZN,MSFT,GOOG,META,NVDA,AJG,BRO,BAC,CSL,593038,273011,442012,1081124
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,closingPrice
2016-05-09,13.928000450134277,94.61000061035156,93.06636810302734,7.3734588623046875,21.3908634185791,33.98749923706055,44.905921936035156,35.64500045776367,119.23999786376953,8.642626762390137,40.680538177490234,16.4195613861084,11.92880916595459,92.66962432861328,4751.0,24070.0,280.6,36900.0
2016-05-10,13.912667274475098,96.5199966430664,93.84381866455078,7.3618927001953125,21.53609275817871,35.153499603271484,45.7579460144043,36.159000396728516,120.5,8.8092041015625,41.40031433105469,16.601743698120117,12.193140983581543,93.65923309326172,4807.0,24500.0,280.6,37000.0
2016-05-11,13.93066692352295,96.0999984741211,93.59830474853516,7.344542026519775,21.326316833496094,35.6614990234375,45.784847259521484,35.76449966430664,119.5199966430664,8.83370304107666,40.87998962402344,16.438241958618164,12.107872009277344,93.1598892211914,,,,
2016-05-12,13.8186674118042,95.95999908447266,93.48373413085938,7.390810489654541,20.8260555267334,35.89649963378906,46.197410583496094,35.66550064086914,120.27999877929688,8.713667869567871,41.183509826660156,16.484962463378906,12.056713104248047,92.15213775634766,,,,
2016-05-13,13.840666770935059,95.97000122070312,92.93540954589844,7.3734588623046875,20.86756134033203,35.49599838256836,45.81175231933594,35.541500091552734,119.80999755859375,10.03896713256836,40.8713264465332,16.41022300720215,11.8350191116333,91.29869079589844,,,,
2016-05-15,,,,,,,,,,,,,,,4818.0,24310.0,280.6,35830.0
2016-05-16,13.88599967956543,97.2300033569336,93.65557861328125,7.471768379211426,21.642139434814453,35.53300094604492,46.484405517578125,35.824501037597656,118.66999816894531,10.335384368896484,41.1141357421875,16.54568862915039,11.87765121459961,92.65550231933594,4830.0,24860.0,280.3,35470.0
2016-05-17,13.644000053405762,95.93000030517578,93.15635681152344,7.535388469696045,21.552230834960938,34.76350021362305,45.617401123046875,35.311500549316406,117.3499984741211,10.357430458068848,40.92335510253906,16.377521514892578,11.945868492126465,92.36412048339844,4736.0,24730.0,280.3,34790.0
2016-05-18,14.07800006866455,96.69999694824219,92.95996856689453,7.454422473907471,21.798900604248047,34.872501373291016,45.888328552246094,35.33150100708008,117.6500015258789,10.622003555297852,41.252899169921875,16.51766014099121,12.525680541992188,92.11825561523438,4731.0,25260.0,280.3,35400.0
2016-05-19,14.347332954406738,95.87999725341797,92.35437774658203,7.321410179138184,21.71590805053711,34.92599868774414,45.445796966552734,35.01599884033203,116.80999755859375,10.668547630310059,41.29624557495117,16.4195613861084,12.389250755310059,92.05449676513672,4683.0,24890.0,280.3,35530.0
2016-05-20,14.685333251953125,96.87999725341797,92.84066009521484,7.476292133331299,21.951045989990234,35.13999938964844,45.71674346923828,35.48699951171875,117.3499984741211,10.859624862670898,41.43500518798828,16.44291877746582,12.380724906921387,93.11083221435547,,,,
2016-05-22,,,,,,,,,,,,,,,4689.0,24750.0,280.3,35370.0
2016-05-23,14.414667129516602,96.62000274658203,92.44503784179688,7.470471382141113,22.22999382019043,34.837501525878906,45.18388748168945,35.21200180053711,115.97000122070312,10.876773834228516,41.278907775878906,16.377521514892578,12.338092803955078,92.95602416992188,4703.0,24810.0,274.6,36080.0
2016-05-24,14.52733325958252,99.62999725341797,92.88186645507812,7.464644908905029,22.568866729736328,35.209999084472656,46.59278106689453,36.00450134277344,117.69999694824219,11.140803337097168,41.738521575927734,16.629770278930664,12.5171537399292,94.6042251586914,4732.0,25160.0,285.0,36890.0
2016-05-25,14.638667106628418,99.61000061035156,93.42584228515625,7.499587059020996,22.965381622314453,35.41749954223633,47.07144546508789,36.26350021362305,117.88999938964844,11.094139099121094,41.747188568115234,16.699840545654297,12.721792221069336,94.941162109375,4776.0,24980.0,285.0,36930.0
2016-05-26,15.008000373840332,99.37000274658203,93.05496978759766,7.5752763748168945,23.147499084472656,35.74549865722656,46.86371612548828,36.20600128173828,119.47000122070312,11.212031364440918,41.63444519042969,16.7512264251709,12.53420639038086,94.91385650634766,4772.0,24800.0,275.2,36920.0
2016-05-27,14.869333267211914,100.13999938964844,93.18681335449219,7.586927890777588,23.1336669921875,35.61199951171875,47.252079010009766,36.632999420166016,119.37999725341797,11.273433685302734,41.79923629760742,16.802608489990234,12.687688827514648,94.70442962646484,,,,
2016-05-29,,,,,,,,,,,,,,,4791.0,24960.0,285.0,36800.0
2016-05-30,,,,,,,,,,,,,,,4895.0,24800.0,285.0,36900.0
2016-05-31,14.881999969482422,99.47000122070312,92.88186645507812,7.64514684677124,23.020702362060547,36.13949966430664,47.8662109375,36.7859992980957,118.80999755859375,11.474833488464355,41.91196823120117,16.84464454650879,12.610944747924805,94.5405044555664,4845.0,24730.0,285.0,36270.0
2016-06-01,14.637332916259766,100.04000091552734,92.9560546875,7.709197044372559,22.697967529296875,35.97200012207031,47.73072814941406,36.70750045776367,118.77999877929688,11.49693489074707,41.86825942993164,16.825965881347656,12.71360969543457,95.25080871582031,4782.0,24940.0,285.0,36140.0
2016-06-02,14.597332954406738,100.16999816894531,94.36547088623047,7.779069900512695,22.52737045288086,36.4119987487793,47.39657211303711,36.52000045776367,118.93000030517578,11.577986717224121,42.174190521240234,16.8913631439209,12.782059669494629,91.97254180908203,4724.0,25140.0,285.0,35750.0
2016-06-03,14.599332809448242,98.69999694824219,94.58800506591797,7.668441295623779,22.57347297668457,36.277000427246094,46.77341079711914,36.117000579833984,118.47000122070312,11.415885925292969,41.83330154418945,16.807281494140625,12.337165832519531,91.60829162597656,,,,
2016-06-05,,,,,,,,,,,,,,,4722.0,24900.0,285.0,36050.0
2016-06-06,14.711999893188477,99.12000274658203,95.42045593261719,7.64514684677124,22.737157821655273,36.33649826049805,47.08048629760742,35.82749938964844,118.79000091552734,11.356939315795898,41.798336029052734,16.8913631439209,12.422721862792969,91.69937133789062,4710.0,24710.0,285.0,35830.0
2016-06-07,15.489333152770996,98.5199966430664,95.38751983642578,7.674266815185547,22.829362869262695,36.1870002746582,47.05339050292969,35.83250045776367,117.76000213623047,11.379044532775879,41.850791931152344,16.966100692749023,12.277277946472168,91.7904281616211,4699.0,24870.0,282.1,36450.0
2016-06-08,15.701333045959473,98.68000030517578,95.4452133178711,7.703376293182373,22.80862045288086,36.332000732421875,46.99919509887695,36.41400146484375,118.38999938964844,11.34220027923584,41.885738372802734,17.00814437866211,12.345722198486328,92.11825561523438,4643.0,24560.0,282.1,36180.0
2016-06-09,15.290666580200195,98.06999969482422,96.43428039550781,7.668441295623779,22.972305297851562,36.38249969482422,46.6198844909668,36.42900085449219,118.55999755859375,11.636933326721191,42.27033615112305,17.0828857421875,12.140389442443848,92.50980377197266,4573.0,24300.0,282.1,35700.0
2016-06-10,14.586000442504883,97.08999633789062,96.44253540039062,7.627682685852051,22.78325843811035,35.89550018310547,46.493431091308594,35.97050094604492,116.62000274658203,11.347116470336914,41.98188781738281,17.00814437866211,11.832385063171387,90.87980651855469,,,,
2016-06-13,14.524666786193848,96.95999908447266,96.2612075805664,7.563633441925049,22.43977165222168,35.762001037597656,45.283233642578125,35.917999267578125,113.94999694824219,11.492023468017578,41.57981872558594,16.81195068359375,11.635608673095703,90.2970199584961,4523.0,23800.0,282.1,35160.0
2016-06-14,14.330666542053223,96.9800033569336,96.53317260742188,7.5752763748168945,22.467432022094727,35.96500015258789,45.00326919555664,35.91350173950195,114.94000244140625,11.514126777648926,40.90677261352539,16.699840545654297,11.344717025756836,90.9071273803711,4530.0,23450.0,281.9,34950.0
2016-06-15,14.513333320617676,97.0199966430664,95.9479751586914,7.540341377258301,22.393661499023438,35.7130012512207,44.8768196105957,35.94599914550781,114.5999984741211,11.6320219039917,40.51343536376953,16.60641098022461,11.413162231445312,91.1347885131836,4487.0,23740.0,270.0,35270.0
2016-06-16,14.528667449951172,97.19000244140625,96.13754272460938,7.458824157714844,22.488182067871094,35.8754997253418,45.50901412963867,35.518001556396484,114.38999938964844,11.678688049316406,40.74070739746094,16.662471771240234,11.387496948242188,91.8906021118164,4754.0,23170.0,275.0,34810.0
