,601,602,700,701,702,TA35.TA,TA90.TA,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2021-10-19,393.51,390.9,512.59,285.34,328.88,1843.93994140625,2111.489990234375,438.58416748046875,371.1632080078125,2275.909912109375,125.86106872558594,125.11347198486328,17.889999389648438,165.4499969482422,24.889999389648438
2021-10-20,393.69,391.2,512.93,285.35,328.93,1851.239990234375,2111.3798828125,440.3067932128906,370.6788635253906,2289.77001953125,125.89031219482422,124.81102752685547,18.100000381469727,166.89999389648438,25.149999618530273
2021-10-21,393.14,390.41,511.84,285.54,328.86,1861.1500244140625,2135.5,441.4552001953125,372.9425354003906,2296.179931640625,125.55890655517578,124.54640197753906,17.829999923706055,166.75,24.829999923706055
2021-10-22,,,,,,,,440.99774169921875,369.80889892578125,2291.27001953125,125.6661148071289,125.04730224609375,17.969999313354492,167.77000427246094,24.969999313354492
2021-10-24,393.03,390.62,511.55,285.38,328.88,,,,,,,,,,
2021-10-25,393.44,390.96,510.55,285.4,328.8,1868.969970703125,2150.64990234375,443.36273193359375,373.5950012207031,2312.639892578125,125.83180236816406,125.10398864746094,18.079999923706055,168.92999267578125,24.950000762939453
2021-10-26,393.97,391.28,510.17,285.19,328.8,1871.6700439453125,2162.080078125,443.7617492675781,374.77130126953125,2296.080078125,125.79281616210938,125.6427001953125,18.1200008392334,167.67999267578125,25.200000762939453
2021-10-27,394.04,391.47,510.55,285.12,328.7,1862.3399658203125,2160.219970703125,441.79583740234375,375.6412353515625,2252.489990234375,126.00727844238281,126.40827941894531,17.809999465942383,168.1199951171875,24.56999969482422
2021-10-28,393.63,391.6,511.02,285.13,328.52,1849.5,2157.780029296875,446.05865478515625,379.81280517578125,2297.97998046875,125.80256652832031,126.21923828125,17.920000076293945,168.0800018310547,24.670000076293945
2021-10-29,,,,,,,,446.96380615234375,381.68109130859375,2297.18994140625,125.78306579589844,126.153076171875,17.850000381469727,166.64999389648438,24.5
2021-10-31,393.71,391.95,511.15,285.16,328.6,1850.1099853515625,2181.2900390625,,,,,,,,
2021-11-01,393.36,391.58,510.0,285.04,328.49,1856.030029296875,2199.6298828125,447.732666015625,382.9859619140625,2358.1201171875,125.80064392089844,125.92769622802734,17.979999542236328,167.52000427246094,24.774999618530273
2021-11-02,393.64,391.95,510.9,285.03,328.53,1876.260009765625,2247.949951171875,449.5428466796875,384.58740234375,2361.860107421875,126.05421447753906,126.41065216064453,17.969999313354492,167.16000366210938,24.709999084472656
2021-11-03,392.81,391.06,510.11,284.96,328.52,1879.3699951171875,2238.06005859375,452.2874450683594,388.6700134277344,2404.280029296875,125.92738342285156,126.08869934082031,17.56999969482422,165.77000427246094,23.799999237060547
2021-11-04,393.64,392.05,511.56,284.96,328.7,1890.199951171875,2253.989990234375,454.4188537597656,393.6522521972656,2402.429931640625,126.30776977539062,126.75159454345703,17.399999618530273,167.64999389648438,23.6299991607666
2021-11-05,,,,,,,,455.9954833984375,394.0278625488281,2437.080078125,126.60035705566406,127.67961120605469,17.6299991607666,169.83999633789062,24.399999618530273
2021-11-07,394.31,392.89,512.68,284.99,328.64,,,,,,,,,,
2021-11-08,394.03,392.48,512.44,284.99,328.66,1892.0899658203125,2281.64990234375,456.38482666015625,393.49407958984375,2442.739990234375,126.20045471191406,127.38601684570312,17.739999771118164,170.4499969482422,24.649999618530273
2021-11-09,394.25,393.02,513.22,285.03,328.65,1889.010009765625,2270.6298828125,454.87628173828125,390.7855224609375,2427.2900390625,126.47357177734375,127.72698211669922,17.860000610351562,171.2899932861328,24.975000381469727
2021-11-10,393.91,392.47,512.19,285.08,328.62,1875.3699951171875,2255.860107421875,451.21685791015625,385.0421447753906,2389.580078125,125.6836166381836,126.42009735107422,17.6200008392334,173.14999389648438,24.270000457763672
2021-11-11,393.8,392.33,511.5,285.16,328.63,1889.3800048828125,2253.25,451.36285400390625,386.1097412109375,2409.139892578125,125.40077209472656,126.06029510498047,17.690000534057617,174.1199951171875,24.260000228881836
2021-11-12,,,,,,,,454.7691955566406,390.172607421875,2411.780029296875,125.63484191894531,125.92769622802734,17.639999389648438,174.4499969482422,24.100000381469727
2021-11-14,393.98,392.59,511.91,285.13,328.74,1903.3199462890625,2277.0,,,,,,,,
2021-11-15,394.55,393.43,512.37,285.34,328.79,1902.949951171875,2271.550048828125,454.9249267578125,390.0836181640625,2400.929931640625,125.44953155517578,124.97125244140625,17.68000030517578,174.17999267578125,24.200000762939453
2021-11-16,395.13,394.47,514.13,285.21,328.89,1896.8699951171875,2263.68994140625,456.7254333496094,392.8614501953125,2405.02001953125,125.42027282714844,124.76294708251953,17.68000030517578,172.9199981689453,24.209999084472656
2021-11-17,395.48,395.06,515.11,285.63,328.99,1895.8399658203125,2256.090087890625,455.615966796875,393.0690002441406,2377.010009765625,125.6445541381836,125.26480865478516,17.450000762939453,174.5,23.700000762939453
2021-11-18,395.79,396.08,516.45,285.32,329.01,1898.8800048828125,2255.25,457.1634216308594,397.1417541503906,2363.590087890625,125.71284484863281,125.54890441894531,17.510000228881836,173.94000244140625,23.950000762939453
2021-11-19,,,,,,,,456.345947265625,399.3561096191406,2343.159912109375,125.72261047363281,126.02237701416016,17.239999771118164,172.61000061035156,23.18000030517578
2021-11-21,395.87,396.41,517.29,285.22,328.97,1892.9000244140625,2265.610107421875,,,,,,,,
