,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2021-07-08,391.85,444.78,239.51,147.18865966796875,105.76409149169922,516.55,727.92,354.2619934082031,127.27897644042969,126.37847900390625,168.64999389648438,982.5,1981.27,366.7,328.84,370.08,667.77,21.280000686645508,283.8
2021-07-09,,,,148.5443878173828,105.76409149169922,,,356.47381591796875,127.01731872558594,125.84642028808594,169.2100067138672,,,,,,,21.709999084472656,
2021-07-11,391.75,444.22,239.49,,,515.81,725.87,,,,,999.04,2015.52,366.86,328.86,369.96,683.0,,283.78
2021-07-12,391.68,443.88,239.51,148.66232299804688,105.7545394897461,515.36,724.75,357.86614990234375,126.95915985107422,125.78108978271484,169.0,978.21,2001.68,366.9,328.86,369.85,669.68,21.665000915527344,283.79
2021-07-13,391.53,443.65,239.59,149.2714080810547,105.76409149169922,515.06,723.86,357.86614990234375,126.69752502441406,125.3143310546875,169.22000122070312,968.8,2003.36,366.93,328.85,369.66,663.14,22.06999969482422,283.76
2021-07-14,392.29,443.54,239.77,150.37173461914062,105.76409149169922,514.91,723.29,358.5079650878906,126.98820495605469,125.89309692382812,171.0399932861328,963.76,1997.15,367.22,328.87,370.28,657.82,21.408199310302734,283.77
2021-07-15,392.8,443.98,239.8,149.1338653564453,105.7545394897461,515.5,724.82,355.9899597167969,127.13360595703125,126.16377258300781,171.07000732421875,950.61,1970.92,367.47,328.9,370.15,648.87,21.1299991607666,283.75
2021-07-16,,,,147.66021728515625,105.7545394897461,,,353.106689453125,127.10450744628906,125.98641967773438,169.41000366210938,,,,,,,21.1299991607666,
2021-07-19,391.47,444.8,239.88,145.6265869140625,105.7545394897461,516.58,727.8,350.2135925292969,127.58907318115234,126.891845703125,169.61000061035156,899.5,1899.9,365.82,328.92,368.62,612.12,19.809999465942383,283.77
2021-07-20,390.66,445.0,239.7,147.7879180908203,105.76409149169922,516.85,728.53,354.28173828125,127.6666030883789,126.71451568603516,169.38999938964844,907.58,1919.32,365.6,328.89,368.18,617.84,19.959999084472656,283.76
2021-07-21,390.73,444.45,239.71,149.2124481201172,105.7545394897461,516.12,726.4,357.0169372558594,127.33709716796875,126.26641845703125,168.75999450683594,932.69,1949.5,365.93,328.87,368.56,634.62,20.809999465942383,283.76
2021-07-22,391.72,444.95,239.75,150.31277465820312,105.7545394897461,516.77,728.2,359.3769226074219,127.49214172363281,126.78919982910156,169.08999633789062,938.84,1957.08,366.52,328.89,369.18,639.21,21.25,283.8
2021-07-23,,,,151.80609130859375,105.76409149169922,,,363.573486328125,127.4533920288086,126.73314666748047,168.55999755859375,,,,,,,21.3700008392334,
2021-07-25,392.31,445.26,239.75,,,517.19,729.27,,,,,956.59,1982.06,367.3,328.89,369.92,652.63,,283.77
2021-07-26,392.86,445.29,239.8,151.72750854492188,105.7545394897461,517.18,729.21,363.8598327636719,127.41462707519531,126.45315551757812,168.16000366210938,943.52,1970.19,367.51,328.92,370.35,643.3,21.3700008392334,283.94
2021-07-27,393.48,445.39,239.81,150.29315185546875,105.7545394897461,517.36,729.89,359.85089111328125,127.5793685913086,126.99454498291016,168.44000244140625,945.2,1955.01,367.25,328.87,370.02,644.07,21.239999771118164,283.79
2021-07-28,394.1,445.86,239.9,150.10647583007812,105.76409149169922,517.93,731.11,361.2332763671875,127.63750457763672,127.21857452392578,169.2899932861328,949.67,1967.2,367.35,328.9,370.18,647.68,21.421300888061523,283.96
2021-07-29,394.87,445.77,239.86,150.80401611328125,105.76409149169922,517.83,730.93,361.8751220703125,127.4533920288086,126.85449981689453,171.1699981689453,966.03,1983.53,367.14,328.84,370.02,658.24,21.770000457763672,283.94
2021-07-30,,,,150.7057647705078,105.76409149169922,,,359.9891052246094,127.6666030883789,126.95721435546875,169.82000732421875,,,,,,,21.790000915527344,
2021-08-01,395.13,446.1,239.9,,,518.3,732.16,,,,,971.85,1991.18,367.73,328.91,370.68,664.17,,283.77
2021-08-02,396.02,446.34,239.86,150.16543579101562,105.76409149169922,518.62,733.09,360.0187683105469,127.92646789550781,127.32469940185547,169.61000061035156,978.75,2002.44,368.38,328.91,371.59,669.82,21.20009994506836,283.8
2021-08-03,396.5,446.73,239.92,151.12823486328125,105.76409149169922,519.12,734.54,362.2009582519531,127.95556640625,127.45563507080078,169.49000549316406,954.0,1961.05,368.49,328.96,372.15,649.61,21.020000457763672,283.81
